fkey,sos_detected_date,predicted_sowing_date,sos_detected_dop,predicted_sowing_dop,sow_date_survey,sow_dop_survey,Di_estimated_observed,approach,sensor,smooth
225,2022-10-30,2022-10-20,302,292,2022-12-06,339,-47 days,minimum,MODIS,spline
244,2022-12-12,2022-12-02,345,335,2022-12-14,347,-12 days,minimum,MODIS,sg
244,2022-12-11,2022-12-01,344,334,2022-12-14,347,-13 days,minimum,MODIS,spline
245,2022-12-06,2022-11-26,339,329,2022-12-18,351,-22 days,minimum,MODIS,sg
245,2022-12-08,2022-11-28,341,331,2022-12-18,351,-20 days,minimum,MODIS,spline
273,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,MODIS,sg
273,2022-12-18,2022-12-08,351,341,2022-11-19,322,19 days,minimum,MODIS,spline
276,2022-12-06,2022-11-26,339,329,2022-11-29,332,-3 days,minimum,MODIS,sg
276,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,MODIS,spline
278,2022-12-14,2022-12-04,347,337,2022-11-20,323,14 days,minimum,MODIS,sg
278,2022-12-10,2022-11-30,343,333,2022-11-20,323,10 days,minimum,MODIS,spline
279,2022-12-13,2022-12-03,346,336,2022-12-04,337,-1 days,minimum,MODIS,sg
279,2022-12-01,2022-11-21,334,324,2022-12-04,337,-13 days,minimum,MODIS,spline
287,2023-01-01,2022-12-22,365,355,2022-12-23,356,-1 days,minimum,MODIS,sg
287,2023-01-02,2022-12-23,366,356,2022-12-23,356,0 days,minimum,MODIS,spline
365,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,sg
365,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,spline
373,2022-10-19,2022-10-09,291,281,2022-12-06,339,-58 days,minimum,MODIS,sg
373,2022-10-30,2022-10-20,302,292,2022-12-06,339,-47 days,minimum,MODIS,spline
386,2022-12-25,2022-12-15,358,348,2022-12-17,350,-2 days,minimum,MODIS,sg
386,2022-12-22,2022-12-12,355,345,2022-12-17,350,-5 days,minimum,MODIS,spline
392,2022-12-12,2022-12-02,345,335,2022-12-14,347,-12 days,minimum,MODIS,sg
392,2022-12-11,2022-12-01,344,334,2022-12-14,347,-13 days,minimum,MODIS,spline
393,2022-12-06,2022-11-26,339,329,2022-12-18,351,-22 days,minimum,MODIS,sg
