geo,id,mask,millis,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,NDVI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,20230719T045701_20230719T050750_T44RRN,1.0,1689743515094,228.0,318.8532242540905,2200.5813282001927,1166.561116458133,384.7998075072185,789.0096246390762,495.23869104908573,1284.2305101058714,3423.4456207892213,4014.158806544755,3908.391241578441,4320.307025986525,3887.7189605389794,0.0,0.0,0.7748607362576043,0.0,0.0,0.0,4.0,40.337343599615025,80.70404234841193,50.095283926852744,5733.723772858519,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-07-19 05:11:55.094,2023-07-19
,20230724T045709_20230724T050220_T44RRN,1.0,1690175516897,240.0,570.4802694898941,1940.3926852743027,1577.968719923003,717.0062560153993,930.6602502406159,1104.9076034648701,1316.735803657363,1704.5837343599617,2021.7507218479307,1956.410972088547,2133.8200192492786,2216.3180943214634,0.0,0.0,0.2785570023128655,0.0,0.0,0.0,5.0,73.29740134744948,95.10442733397498,112.79403272377287,3550.7343599615015,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-07-24 05:11:56.897,2023-07-24
,20230729T045701_20230729T050900_T44RRN,0.0,1690607516137,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-07-29 05:11:56.137,2023-07-29
,20230803T045659_20230803T050732_T44RRN,0.0,1691039515535,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-08-03 05:11:55.535,2023-08-03
,20230808T045701_20230808T050924_T44RRN,0.0,1691471515350,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-08-08 05:11:55.350,2023-08-08
,20230813T045659_20230813T051019_T44RRN,0.0,1691903516499,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-08-13 05:11:56.499,2023-08-13
,20230818T045701_20230818T045848_T44RRN,1.0,1692335516872,366.0,1031.37343599615,970.1583253128007,588.7747834456209,1017.4239653512994,1187.3002887391724,897.133782483157,1363.1342637151108,1894.7622714148217,2153.2574590952845,1999.1376323387876,2045.5129932627526,1986.9571703561116,0.0,0.0,0.373576089672851,0.0,0.0,0.0,5.0,103.68334937439847,121.08084696823869,91.92540904716074,6642.324831568817,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-08-18 05:11:56.872,2023-08-18
,20230823T045659_20230823T051015_T44RRN,0.0,1692767515264,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-08-23 05:11:55.264,2023-08-23
,20230828T045701_20230828T045848_T44RRN,1.0,1693199516615,846.0,99.41241578440808,1904.073628488932,1058.8657362848894,290.14918190567863,840.5226179018287,656.2406159769009,1371.5591915303175,2778.0514918190574,3289.8902791145338,3219.0534167468727,3551.7641963426368,3270.185274302214,6.239172281039461,0.0,0.6588327177326568,0.0,0.0,0.0,4.0,29.166506256015403,85.93936477382098,67.58036573628489,3480.471607314726,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-08-28 05:11:56.615,2023-08-28
,20230902T045659_20230902T050823_T44RRN,1.0,1693631515679,297.25072184793066,808.1198267564965,1455.885948026949,875.3262752646776,839.0548604427335,993.5943214629451,723.9494706448509,1269.6424446583255,2404.5769971126088,3013.9066410009623,2767.5495668912413,3069.4797882579405,3065.0389797882585,2.3166506256015396,0.0,0.5838935043838881,,,0.0,4.0,85.52839268527433,101.21077959576517,74.02261790182868,6538.413859480271,0.0,0.0,0.0,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-09-02 05:11:55.679,2023-09-02
,20230907T045701_20230907T050433_T44RRN,0.0,1694063516187,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-09-07 05:11:56.187,2023-09-07
,20230912T045659_20230912T050507_T44RRN,1.0,1694495514366,341.0,800.3864292589028,1652.1997112608278,870.5091434071222,814.6347449470645,934.165543792108,608.6828681424447,1105.665062560154,2774.2281039461027,3845.3570741097215,3778.904716073147,4074.66698748797,3801.6939364773825,1.2266602502406159,0.0,0.7224556460113828,0.0,0.0,0.0,4.0,83.2271414821944,95.43936477382098,62.15303176130896,5931.045717035612,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-09-12 05:11:54.366,2023-09-12
,20230917T045701_20230917T045848_T44RRN,0.0,1694927514302,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-09-17 05:11:54.302,2023-09-17
,20230922T045659_20230922T050720_T44RRN,0.0,1695359514491,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-09-22 05:11:54.491,2023-09-22
,20230927T045701_20230927T050448_T44RRN,1.0,1695791513173,324.0,1310.8397497593842,1629.9355149181906,753.4403272377286,1153.493743984601,1188.9692011549566,830.7054860442734,1223.65062560154,2945.5558229066405,3916.3195380173247,3792.7372473532246,4144.303657362849,3918.8806544754575,0.0,0.0,0.640593714542108,0.0,0.0,0.0,5.0,118.3036573628489,121.4384023099134,84.71222329162654,5851.333012512031,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-09-27 05:11:53.173,2023-09-27
,20231002T045659_20231002T050834_T44RRN,0.0,1696223512324,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-10-02 05:11:52.324,2023-10-02
