geo,id,mask,millis,BLUE,COASTAL,GREEN,NDVI,NIR,RED,SWIR1,SWIR2,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,2_T45RTJ_20221026T044922,1.0,1666759762000,0.021052230971128613,0.01587165354330709,0.04867244094488189,0.8108790016137041,0.2905041994750656,0.03036194225721785,0.1037217847769029,0.04857244094488188,5,0,5,1079.757936006434,0.0,1079.757936006434,20221026T044922,435,2022-10-26 04:49:22,2022-10-26
,1_T44RRP_20221027T045909,1.0,1666846749000,0.02185984251968504,0.019188451443569555,0.045412598425196855,0.8080696904306695,0.2939740157480315,0.03120708661417323,0.1133443569553806,0.05147769028871391,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221027T045909,435,2022-10-27 04:59:09,2022-10-27
,1_T45RTJ_20221027T045909,1.0,1666846749000,0.022912335958005254,0.01967716535433071,0.047075065616797904,0.8067902890321162,0.30220078740157486,0.032305249343832027,0.11524435695538059,0.05214146981627297,5,0,5,1079.757936006434,0.0,1079.757936006434,20221027T045909,435,2022-10-27 04:59:09,2022-10-27
,1_T44RRP_20221029T044921,1.0,1667018961000,0.020638057742782157,0.02160314960629921,0.045899737532808405,0.7915557259210543,0.2786251968503937,0.03242913385826771,0.11646010498687663,0.05484225721784777,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221029T044921,435,2022-10-29 04:49:21,2022-10-29
,1_T45RTJ_20221029T044921,1.0,1667018961000,0.022531496062992127,0.021942782152230975,0.04733753280839896,0.785411798598137,0.28555485564304467,0.03431732283464567,0.11915958005249346,0.05527270341207349,5,0,5,1079.757936006434,0.0,1079.757936006434,20221029T044921,435,2022-10-29 04:49:21,2022-10-29
,1_T44RRP_20221101T045941,1.0,1667278781000,0.022458267716535436,0.02033700787401575,0.04899002624671916,0.764078870078203,0.30615249343832024,0.0409748031496063,0.13865564304461944,0.0717464566929134,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221101T045941,435,2022-11-01 04:59:41,2022-11-01
,1_T45RTJ_20221101T045941,1.0,1667278781000,0.026787401574803155,0.019965354330708663,0.05238713910761156,0.765017784194333,0.3153057742782152,0.04197112860892389,0.14158372703412075,0.07085275590551182,5,0,5,1079.757936006434,0.0,1079.757936006434,20221101T045941,435,2022-11-01 04:59:41,2022-11-01
,2_T44RRP_20221103T044908,0.0,1667450948000,,,,,,,,,4,4,0,1090.6892989813111,1090.6892989813111,0.0,20221103T044908,435,2022-11-03 04:49:08,2022-11-03
,2_T45RTJ_20221103T044908,0.0,1667450948000,,,,,,,,,5,5,0,1079.757936006434,1079.757936006434,0.0,20221103T044908,435,2022-11-03 04:49:08,2022-11-03
,1_T44RRP_20221103T044939,1.0,1667450979000,0.023483727034120737,0.02142230971128609,0.05109186351706037,0.7217195018928211,0.2677548556430447,0.04328976377952756,0.13023202099737535,0.06759370078740158,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221103T044939,435,2022-11-03 04:49:39,2022-11-03
,1_T45RTJ_20221103T044939,1.0,1667450979000,0.025117585301837272,0.021733858267716538,0.05238503937007875,0.7211905629883246,0.27492860892388454,0.04452099737532808,0.13145695538057742,0.06840892388451444,5,0,5,1079.757936006434,0.0,1079.757936006434,20221103T044939,435,2022-11-03 04:49:39,2022-11-03
